iter	Passed	Remaining
1289	482889	452942
1290	483219	452527
1291	483593	452152
1292	483980	451789
1293	484332	451394
1294	484672	450988
1295	485007	450577
1296	485398	450219
1297	485773	449846
1298	486174	449495
1299	486534	449108
1300	486927	448751
1301	487357	448429
1302	487744	448066
1303	488099	447673
1304	488461	447288
1305	488913	446984
1306	489291	446614
1307	489533	446119
1308	489832	445676
1309	490221	445315
1310	490535	444886
1311	490916	444519
1312	491270	444126
1313	491654	443761
1314	492071	443425
1315	492449	443055
1316	492670	442542
1317	493005	442134
1318	493370	441751
1319	493756	441388
1320	494134	441018
1321	494437	440580
1322	494836	440228
1323	495212	439856
1324	495445	439356
1325	495797	438964
1326	496148	438570
1327	496490	438167
1328	496842	437775
1329	497184	437372
1330	497568	437008
1331	497957	436647
1332	498314	436258
1333	498692	435888
1334	499069	435517
1335	499470	435167
1336	499831	434782
1337	500205	434408
1338	500515	433979
1339	500896	433611
1340	501257	433227
1341	501641	432862
1342	502026	432498
1343	502417	432138
1344	502794	431767
1345	503128	431359
1346	503522	431003
1347	503891	430625
1348	504235	430226
1349	504563	429813
1350	504931	429434
1351	505350	429099
1352	505802	428792
1353	506187	428427
1354	506582	428071
1355	506972	427711
1356	507342	427334
1357	507727	426969
1358	508175	426658
1359	508513	426254
1360	508904	425893
1361	509264	425508
1362	509647	425142
1363	510000	424751
1364	510335	424344
1365	510666	423935
1366	511062	423579
1367	511481	423243
1368	511815	422836
1369	512201	422472
1370	512540	422070
1371	512943	421720
1372	513349	421373
1373	513777	421042
1374	514214	420720
1375	514579	420339
1376	514911	419931
1377	515280	419553
1378	515606	419140
1379	515996	418779
1380	516377	418411
1381	516756	418041
1382	517160	417692
1383	517585	417359
1384	517952	416979
1385	518353	416627
1386	518716	416244
1387	519091	415871
1388	519517	415539
1389	519877	415153
1390	520248	414777
1391	520609	414393
1392	520968	414007
1393	521306	413604
1394	521644	413202
1395	521973	412792
1396	522322	412399
1397	522701	412029
1398	523083	411661
1399	523459	411289
1400	523844	410924
1401	524193	410530
1402	524595	410179
1403	524946	409787
1404	525316	409410
1405	525668	409019
1406	526038	408642
1407	526427	408280
1408	526775	407886
1409	527147	407510
1410	527470	407097
1411	527848	406727
1412	528231	406360
1413	528562	405953
1414	528946	405587
1415	529302	405200
1416	529682	404831
1417	530045	404449
1418	530402	404062
1419	530790	403699
1420	531136	403304
1421	531462	402894
1422	531810	402501
1423	532185	402128
1424	532568	401762
1425	532904	401360
1426	533263	400975
1427	533648	400609
1428	534019	400234
1429	534371	399844
1430	534749	399473
1431	535154	399123
1432	535507	398734
1433	535923	398392
1434	536316	398032
1435	536741	397697
1436	537116	397324
1437	537510	396965
1438	537912	396612
1439	538315	396259
1440	538695	395890
1441	539079	395524
1442	539458	395154
1443	539832	394780
1444	540183	394390
1445	540568	394024
1446	540887	393610
1447	541217	393205
1448	541582	392825
1449	542005	392486
1450	542425	392146
1451	542831	391795
1452	543202	391419
1453	543606	391067
1454	543949	390671
1455	544324	390298
1456	544713	389935
1457	545098	389569
1458	545462	389189
1459	545850	388825
1460	546233	388457
1461	546623	388095
1462	546968	387700
1463	547360	387339
1464	547763	386986
1465	548118	386599
1466	548510	386238
1467	548878	385860
1468	549257	385489
1469	549626	385112
1470	550028	384758
1471	550417	384394
1472	550762	384000
1473	551148	383635
1474	551503	383248
1475	551834	382844
1476	552260	382506
1477	552653	382146
1478	553042	381782
1479	553365	381373
1480	553717	380984
1481	554055	380585
1482	554410	380199
1483	554777	379820
1484	555132	379434
1485	555498	379054
1486	555879	378686
1487	556277	378328
1488	556725	378005
1489	557092	377626
1490	557480	377262
1491	557862	376893
1492	558244	376525
1493	558634	376162
1494	559052	375817
1495	559407	375431
1496	559785	375059
1497	560134	374669
1498	560548	374322
1499	560927	373951
1500	561302	373578
1501	561697	373218
1502	562094	372859
1503	562457	372478
1504	562831	372104
1505	563211	371734
1506	563599	371370
1507	564063	371054
1508	564390	370649
1509	564781	370287
1510	565181	369929
1511	565562	369560
1512	565969	369207
1513	566377	368856
1514	566783	368502
1515	567187	368148
1516	567604	367801
1517	568016	367451
1518	568344	367048
1519	568686	366652
1520	569084	366294
1521	569443	365910
1522	569841	365551
1523	570219	365179
1524	570614	364818
1525	571008	364457
1526	571384	364084
1527	571730	363692
1528	572101	363316
1529	572415	362904
1530	572753	362506
1531	573107	362120
1532	573439	361719
1533	573805	361340
1534	574215	360989
1535	574605	360624
1536	574985	360254
1537	575338	359867
1538	575687	359477
1539	576050	359096
1540	576439	358731
1541	576842	358375
1542	577232	358011
1543	577606	357636
1544	577931	357232
1545	578315	356864
1546	578639	356459
1547	578987	356069
1548	579381	355708
1549	579740	355324
1550	580092	354937
1551	580431	354542
1552	580612	354050
1553	580954	353656
1554	581107	353148
1555	581271	352648
1556	581414	352135
1557	581691	351703
1558	582056	351324
1559	582401	350934
1560	582777	350562
1561	583094	350155
1562	583464	349779
1563	583615	349273
1564	583990	348901
1565	584389	348544
1566	584750	348163
1567	585059	347752
1568	585406	347363
1569	585748	346971
1570	586040	346550
1571	586393	346166
1572	586725	345768
1573	587069	345378
1574	587481	345028
1575	587874	344667
1576	588183	344257
1577	588568	343891
1578	588906	343497
1579	589206	343082
1580	589546	342690
1581	589933	342325
1582	590301	341949
1583	590658	341567
1584	591054	341208
1585	591438	340841
1586	591827	340478
1587	592199	340104
1588	592568	339729
1589	592948	339360
1590	593318	338985
1591	593701	338618
1592	594090	338254
1593	594413	337853
1594	594817	337498
1595	595234	337150
1596	595597	336771
1597	595958	336392
1598	596301	336002
1599	596702	335645
1600	597098	335285
1601	597507	334932
1602	597923	334583
1603	598306	334216
1604	598651	333827
1605	599014	333449
1606	599351	333055
1607	599729	332686
1608	600076	332298
1609	600410	331903
1610	600761	331518
1611	601149	331154
1612	601531	330786
1613	601955	330441
1614	602312	330059
1615	602679	329683
1616	603129	329352
1617	603516	328987
1618	603885	328612
1619	604243	328230
1620	604589	327843
1621	604985	327482
1622	605373	327117
1623	605763	326754
1624	606143	326385
1625	606503	326005
1626	606886	325637
1627	607327	325300
1628	607744	324951
1629	608246	324647
1630	608611	324269
1631	608994	323901
1632	609366	323527
1633	609772	323172
1634	610135	322793
1635	610572	322454
1636	610961	322088
1637	611330	321713
1638	611727	321352
1639	612117	320988
1640	612495	320617
1641	612868	320244
1642	613275	319888
1643	613609	319494
1644	613977	319119
1645	614356	318748
1646	614755	318388
1647	615154	318028
1648	615502	317642
1649	615848	317255
1650	616187	316864
1651	616587	316504
1652	616983	316143
1653	617361	315772
1654	617781	315423
1655	618168	315057
1656	618557	314691
